package_name,repeated_characters,omitted_characters,rearranged_characters,swapped_characters,swapped_words,detect_typos,highest_ratio_package,fuzzywuzzy_ratio,fuzzyset_match,fuzzyset_ratio
react-flexybox,n/a,n/a,n/a,n/a,n/a,n/a,react-flexbox-grid,81,react-flexybox,1
rtoolkit-jsonapi-fetch,n/a,n/a,n/a,n/a,n/a,n/a,write-json-file,59,rtoolkit-jsonapi-fetch,1
@james-wiens/utils,n/a,n/a,n/a,n/a,n/a,n/a,css-in-js-utils,69,@james-wiens/utils,1
speedback,n/a,n/a,n/a,n/a,n/a,n/a,aspnet-webpack,70,speedback,1
portal-teste,n/a,n/a,n/a,n/a,n/a,n/a,portal-vue,73,portal-teste,1
nisemono,n/a,n/a,n/a,n/a,n/a,n/a,nise,67,nisemono,1
havana,n/a,n/a,n/a,n/a,n/a,n/a,avatax,67,havana,1
@watilde/d,n/a,n/a,n/a,n/a,n/a,n/a,maildev,62,@watilde/d,1
piano-keys-sjb,n/a,n/a,n/a,n/a,n/a,n/a,hotkeys-js,58,piano-keys-sjb,1
ember-localstorage-with-where-adapter,n/a,n/a,n/a,n/a,n/a,n/a,ember-local-storage,64,ember-localstorage-with-where-adapter,1
express-jaeger,n/a,n/a,n/a,n/a,n/a,n/a,express-jwt,72,express-jaeger,1
node-paperclip-mock-file-system,n/a,n/a,n/a,n/a,n/a,n/a,expo-file-system,64,node-paperclip-mock-file-system,1
rest-flat-file-db,n/a,n/a,n/a,n/a,n/a,n/a,react-filepond,65,rest-flat-file-db,1
room-chat,n/a,n/a,n/a,n/a,n/a,n/a,karma-chai,63,room-chat,1
burstmake,n/a,n/a,n/a,n/a,n/a,n/a,buffermaker,70,burstmake,1
naive-client,n/a,n/a,n/a,n/a,n/a,n/a,wakatime-client,74,naive-client,1
ares.js,n/a,n/a,n/a,n/a,n/a,n/a,aes-js,92,ares.js,1
ditor,n/a,ckeditor,n/a,n/a,n/a,n/a,editor,91,ditor,1
ux-m-base-style,n/a,n/a,n/a,n/a,n/a,n/a,base-store,64,ux-m-base-style,1
react-native-gang,n/a,n/a,n/a,n/a,n/a,n/a,react-native-ratings,86,react-native-gang,1
angular-msda,n/a,n/a,n/a,n/a,n/a,n/a,@angular/forms,80,angular-msda,1
lagouui-react,n/a,n/a,n/a,n/a,n/a,n/a,@lingui/react,80,lagouui-react,1
pr-spec-header,n/a,n/a,n/a,n/a,n/a,n/a,parse-headers,81,pr-spec-header,1
jsduck-from-js,n/a,n/a,n/a,n/a,n/a,n/a,chroma-js,61,jsduck-from-js,1
sha1-regex,n/a,n/a,n/a,n/a,n/a,n/a,safe-regex,80,sha1-regex,1
ng-flexy-freezer,n/a,n/a,n/a,n/a,n/a,n/a,ngrx-store-freeze,67,ng-flexy-freezer,1
range-lookup,n/a,n/a,n/a,n/a,n/a,n/a,mime-lookup,70,range-lookup,1
@algom/hello-wasm,n/a,n/a,n/a,n/a,n/a,n/a,camel-case,54,@algom/hello-wasm,1
control-center-ui,n/a,n/a,n/a,n/a,n/a,n/a,console-ui,67,control-center-ui,1
vuepress-plugin-nprogress,n/a,n/a,n/a,n/a,@vuepress/plugin-nprogress,n/a,@vuepress/plugin-nprogress,100,vuepress-plugin-nprogress,1
@kupibilet/source-sans-pro,n/a,n/a,n/a,n/a,n/a,n/a,inline-source-map,62,@kupibilet/source-sans-pro,1
bpl,n/a,bl,n/a,n/a,n/a,n/a,bl,80,bpl,1
node-file-system-helper,n/a,n/a,n/a,n/a,n/a,n/a,file-system-cache,70,node-file-system-helper,1
moment-timezone-utils,n/a,n/a,n/a,n/a,n/a,n/a,moment-timezone,83,moment-timezone-utils,1
btc-lottery,n/a,n/a,n/a,n/a,n/a,n/a,match-sorter,61,btc-lottery,1
xpcwindow,n/a,window,n/a,n/a,n/a,n/a,window,80,xpcwindow,1
ng2-flexbox-grid,n/a,n/a,n/a,n/a,n/a,n/a,flexboxgrid,81,ng2-flexbox-grid,1
kaveh,n/a,n/a,n/a,n/a,n/a,n/a,save,67,kaveh,1
@openfonts/mitr_latin,n/a,n/a,n/a,n/a,n/a,n/a,contentful-migration,60,@openfonts/mitr_latin,1
lodown-dow2,n/a,n/a,n/a,n/a,n/a,n/a,logdown,67,lodown-dow2,1
svg-to-canvas,n/a,n/a,n/a,n/a,n/a,n/a,vega-canvas,75,svg-to-canvas,1
ahk-loader,n/a,n/a,n/a,n/a,n/a,n/a,path-loader,86,ahk-loader,1
repdep,n/a,n/a,n/a,n/a,n/a,n/a,wiredep,77,repdep,1
vue2-deepob,n/a,n/a,n/a,n/a,n/a,n/a,vue2-dropzone,67,vue2-deepob,1
ig-xml-sender,n/a,n/a,n/a,n/a,n/a,n/a,gl-shader,64,ig-xml-sender,1
d3fc-candle-to-record,n/a,n/a,n/a,n/a,n/a,n/a,callsite-record,61,d3fc-candle-to-record,1
@fakundo/webpack-po-messages-loader,n/a,n/a,n/a,n/a,n/a,n/a,@shopify/webpack-no-react-jsx-loader,64,@fakundo/webpack-po-messages-loader,1
generator-le-directive,n/a,n/a,n/a,n/a,n/a,n/a,regenerator-runtime,68,generator-le-directive,1
esdoc2-importpath-plugin,n/a,n/a,n/a,n/a,n/a,n/a,ts-import-plugin,75,esdoc2-importpath-plugin,1
engineer,n/a,n/a,n/a,n/a,n/a,n/a,engine,86,engineer,1
